,Job Title,Company,Location,Salary,Search Term
1364,Cytometry Time of Flight (CyTOF) Operator,"        Pfizer Inc.","San Francisco, CA",NaN,San+Francisco
1365,"Intern, Biology - Strain Engineering","    Amyris, Inc.","Emeryville, CA",NaN,San+Francisco
1366,Sr Research Investigator,"        Bristol-Myers Squibb","Redwood City, CA",NaN,San+Francisco
1367,Bioinformatics <b>Scientist</b>,"        inVentiv Health Clinical","San Francisco, CA",NaN,San+Francisco
1368,"Sr. Director, PK","    Coherus BioSciences","Redwood City, CA",NaN,San+Francisco
1369,Bioengineering Internship,"    Transcriptic","Menlo Park, CA 94025",NaN,San+Francisco
1370,Senior Software Engineer,"        Citrine","Redwood City, CA",NaN,San+Francisco
1371,"<b>Scientist</b> I, DNA Synthesis","        BioPhase Solutions","San Francisco Bay Area, CA",NaN,San+Francisco
1372,Regional Sales Director - SF/Bay,"        Datameer","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1373,Automation Engineer,"    Hampton Creek Foods","San Francisco, CA",NaN,San+Francisco
1374,<b>Data</b> <b>Scientist</b>,"    Feedzai","San Mateo, CA",NaN,San+Francisco
1375,Clinical Biomarker Operations Manager,"        Genentech","South San Francisco, CA",NaN,San+Francisco
1376,<b>Data</b> <b>Scientist</b>,"    Jetlore","San Mateo, CA 94402 <span style=""font-size: smaller"">(Beresford area)</span>",NaN,San+Francisco
1377,Bioinformatics <b>Scientist</b> - PCR Primer Design,"        Thermo Fisher Scientific","South San Francisco, CA 94083",NaN,San+Francisco
1378,Product Manager - Marketplace - Rider Fares,"        Uber","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1379,Machine Learning Algorithm Engineer,"    3coast","San Mateo, CA","$120,000 - $180,000 a year",San+Francisco
1380,"Director, Bioinformatics","        AbbVie","South San Francisco, CA",NaN,San+Francisco
1381,Software Engineer - DevTest,"    Aspera, an IBM Company","Emeryville, CA",NaN,San+Francisco
1382,<b>Data</b> <b>scientist</b>,"    PI Benchmark","Berkeley, CA",NaN,San+Francisco
1383,Associate <b>Scientist</b>,"    Notable Labs","San Francisco, CA",NaN,San+Francisco
1384,Senior Software Engineer,"        Citrine","Redwood City, CA",NaN,San+Francisco
1385,"Professional Services Consultant - Business Analytics, Indus...","        Splunk","San Francisco, CA 94107 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1386,PD Sr. <b>Scientist</b> - Immunoassay,"        Grifols","Emeryville, CA 94608",NaN,San+Francisco
1387,Executive Assistant,"        Marine Mammal Center","Sausalito, CA 94965",NaN,San+Francisco
1388,<b>Data</b> <b>Scientist</b>,"        Wish","San Francisco, CA",NaN,San+Francisco
1389,"Sr. Director, PK","    Coherus BioSciences","Redwood City, CA",NaN,San+Francisco
1390,"<b>Scientist</b>, CRISPR/Cas9 Genome Engineering","    Zymergen","Emeryville, CA 94608",NaN,San+Francisco
1391,<b>Data</b> &amp; Applied <b>Scientist</b> - MileIQ,"        Microsoft","San Francisco, CA",NaN,San+Francisco
1392,Program Manager,"    Feedzai","San Mateo, CA",NaN,San+Francisco
1393,<b>Scientist</b> - Microbiome Analysis,"    Siolta Therapeutics","San Francisco, CA",NaN,San+Francisco
1394,Research Associate,"    GenapSys, Inc.","Redwood City, CA",NaN,San+Francisco
1395,Program Manager,"    Feedzai","San Mateo, CA",NaN,San+Francisco
1396,<b>Data</b> &amp; Applied <b>Scientist</b> - MileIQ,"        Microsoft","San Francisco, CA",NaN,San+Francisco
1397,Head of <b>Data</b> Science,"    Harnham","San Francisco, CA","$225,000 a year",San+Francisco
1398,Developer - Spotfire W2 ONLY 6816078,"    Consultant Specialists","San Francisco, CA",NaN,San+Francisco
1399,Clinical Laboratory <b>Scientist</b> - IRL,"    BSI Business Group","San Francisco, CA",NaN,San+Francisco
1400,Senior Statistical Programmer,"    PaxVax","Redwood City, CA",NaN,San+Francisco
1401,Product Manager - Advanced Technologies Group,"        Uber","San Francisco, CA 94105 <span style=""font-size: smaller"">(Financial District area)</span>",NaN,San+Francisco
1402,Exascale Crystallographic Computation Project <b>Scientist</b>,"        Lawrence Berkeley National Laboratory","Berkeley, CA 94720",NaN,San+Francisco
1403,Sr. Research Analyst I,"    Center for Sustainable","Oakland, CA",NaN,San+Francisco
1404,<b>Scientist</b>/Senior <b>Scientist</b>- Flavor,"    Impossible Foods","Redwood City, CA",NaN,San+Francisco
1405,<b>Data</b> Engineer/<b>Data</b> <b>Scientist</b>,"    Elevate Recruiting Group","San Francisco, CA",NaN,San+Francisco
1406,Staff <b>Scientist</b> Bioinformatics,"        Thermo Fisher Scientific","South San Francisco, CA 94083",NaN,San+Francisco
1407,"<b>Scientist</b>, Toxicology","    Ultragenyx Pharmaceutical","Novato, CA 94949",NaN,San+Francisco
1408,Staff Software Engineer,"        Illumina, Inc.","Redwood City, CA",NaN,San+Francisco
1409,<b>Data</b> <b>Scientist</b>,"        Eventbrite","San Francisco, CA 94107 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1410,Automation Engineer,"    Hampton Creek Foods","San Francisco, CA",NaN,San+Francisco
1411,Brand Marketing,"        Supercell","San Francisco, CA 94104 <span style=""font-size: smaller"">(Financial District area)</span>",NaN,San+Francisco
1412,Senior <b>Scientist</b>,"    BlackThorn Therapeutics","South San Francisco, CA 94080",NaN,San+Francisco
1413,"Director, Epidemiology/Statistician","    SSC","San Francisco Bay Area, CA",NaN,San+Francisco
1414,"<b>Data</b> <b>Scientist</b> - San Francisco / San jose,CA - USC/GC Only","    Markuci Inc","San Francisco, CA 94105 <span style=""font-size: smaller"">(Financial District area)</span>",NaN,San+Francisco
1415,"Director, Bioinformatics","        AbbVie","South San Francisco, CA",NaN,San+Francisco
1416,Web Application Engineer,"    Payette Group","San Bruno, CA",NaN,San+Francisco
1417,Software Engineer III - Mobile - Abbott Diabetes Care,"        ABBOTT LABORATORIES","Alameda, CA",NaN,San+Francisco
1418,Sr Associate <b>Scientist</b> â€“ Clinical Biomarkers,"        Amgen","South San Francisco, CA 94080",NaN,San+Francisco
1419,Principal Machine Learning Engineer,"        art.com","Emeryville, CA 94608",NaN,San+Francisco
1420,"Associate Principal <b>Scientist</b>, PPDM - Bioanalytics Job","        Merck","South San Francisco, CA",NaN,San+Francisco
1421,<b>Data</b> <b>Scientist</b>,"        Chariot","San Francisco, CA",NaN,San+Francisco
1422,Facilities Assistant,"        Natural Resources Defense Council","San Francisco, CA",NaN,San+Francisco
1423,Sr. QA Engineer,"        Gigster","San Francisco, CA",NaN,San+Francisco
1424,"Research <b>Scientist</b>, Bio-Signal Processing","        Fitbit","San Francisco, CA 94105 <span style=""font-size: smaller"">(Financial District area)</span>",NaN,San+Francisco
1425,"<b>Data</b> <b>Scientist</b> - San Francisco / San jose,CA - USC/GC Only","    Markuci Inc","San Francisco, CA 94105 <span style=""font-size: smaller"">(Financial District area)</span>",NaN,San+Francisco
1426,Analyst - Chemist,"        Exponent","Menlo Park, CA 94025",NaN,San+Francisco
1427,"<b>Scientist</b>, Biology","    Zymergen","Emeryville, CA 94608",NaN,San+Francisco
1428,Retail Operations Program Manager,"    Blue Bottle Coffee Inc.","Oakland, CA 94607 <span style=""font-size: smaller"">(Acorn-Acorn Industrial area)</span>",NaN,San+Francisco
1429,Director Product Manager - Compute System,"        Salesforce","San Francisco, CA",NaN,San+Francisco
1430,Digital Marketing Coordinator,"    Systematix","Redwood City, CA",NaN,San+Francisco
1431,Materials and Texture Research Associate,"    Impossible Foods","Redwood City, CA",NaN,San+Francisco
1432,Materials Sciences Division Director,"        Lawrence Berkeley National Laboratory","Berkeley, CA 94720",NaN,San+Francisco
1433,Head of Compliance,"        Natera","San Carlos, CA 94070",NaN,San+Francisco
1434,Software Engineer,"    Feedzai","San Mateo, CA",NaN,San+Francisco
1435,"Hiring!<b>Data</b> <b>Scientist</b> in San Francisco, CA #datasciencejobs...","    Intelliswift Software, Inc.","San Francisco, CA",NaN,San+Francisco
1436,MACHINE LEARNING <b>SCIENTIST</b>,"    Sustainable Recruitment Concepts","Berkeley, CA",NaN,San+Francisco
1437,Global Real Estate Portfolio Manager,"    Pivotal Software","San Francisco, CA",NaN,San+Francisco
1438,<b>Scientist</b> (non-PhD): CAR T Cell Biology &amp; Engineering,"        Pfizer Inc.","San Francisco, CA",NaN,San+Francisco
1439,Software Test Automation Engineer iOS (SDET),"        The Climate Corporation","San Francisco, CA",NaN,San+Francisco
1440,Product Experience Designer,"        Capital One","San Francisco, CA",NaN,San+Francisco
1441,"R&amp;D <b>Scientist</b>, NGS","    BioPhase Solutions Inc.","Burlingame, CA 94010",NaN,San+Francisco
1442,"Postdoctoral Researcher, Antibiotic Biosynthesis","    Achaogen","South San Francisco, CA 94080",NaN,San+Francisco
1443,PK Sciences (PKS) Sr. Investigator â€“ Infectious Diseases,"        Novartis Institutes for BioMedical Research","Emeryville, CA",NaN,San+Francisco
1444,Sr. Statistician,"    Elevate Recruiting Group","Redwood City, CA",NaN,San+Francisco
1445,Sr Associate <b>Scientist</b> â€“ Clinical Biomarkers,"        Amgen","South San Francisco, CA 94080",NaN,San+Francisco
1446,Earth Sciences Postdoctoral Fellow (Energy Geosciences),"        Lawrence Berkeley National Laboratory","Berkeley, CA 94720",NaN,San+Francisco
1447,<b>Data</b> <b>Scientist</b> Intern- Risk,"        Square","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1448,<b>Data</b> <b>Scientist</b> Intern- Risk,"        Square","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1449,Materials and Texture Research Associate,"    Impossible Foods","Redwood City, CA",NaN,San+Francisco
1450,"Product Marketing Manager, Intelligent Rider Spend","        Uber","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1451,Retail Operations Program Manager,"    Blue Bottle Coffee Inc.","Oakland, CA 94607 <span style=""font-size: smaller"">(Acorn-Acorn Industrial area)</span>",NaN,San+Francisco
1452,Senior Backend Engineer,"    NJF Global Holdings","San Francisco, CA",NaN,San+Francisco
1453,Operations Engineering Manager (DevOps),"        The Climate Corporation","San Francisco, CA",NaN,San+Francisco
1454,Head of Compliance,"        Natera","San Carlos, CA 94070",NaN,San+Francisco
1455,<b>Scientist</b> - Microbiome Analysis,"    Siolta Therapeutics","San Francisco, CA",NaN,San+Francisco
1456,Digital Marketing Coordinator,"    Systematix","Redwood City, CA",NaN,San+Francisco
1457,<b>Data</b> Analytics Platform Architect,"    Tellus Solutions","Redwood City, CA 94065",NaN,San+Francisco
1458,Statistician/<b>Data</b> <b>Scientist</b>,"    Clarify Health","San Francisco, CA 94105 <span style=""font-size: smaller"">(Financial District area)</span>",NaN,San+Francisco
1459,"<b>Scientist</b>, Fundamental Science","    Zymergen","Emeryville, CA 94608",NaN,San+Francisco
1460,NSBE 2017 National Convention: Intern,"        Visa","Foster City, CA",NaN,San+Francisco
1461,"Director, Epidemiology/Statistician","    SSC","San Francisco Bay Area, CA",NaN,San+Francisco
1462,Associate <b>Scientist</b> II (upstream bioprocess),"        AbbVie","Redwood City, CA",NaN,San+Francisco
1463,Reimbursement Associate,"        Counsyl","South San Francisco, CA 94080",NaN,San+Francisco
1464,Software Engineer - Python,"        KellyMitchell","San Francisco, CA",NaN,San+Francisco
1465,Procurement Specialist,"        VWR","Foster City, CA",NaN,San+Francisco
1466,Statistical Programmer,"        Real Staffing","San Francisco, CA",NaN,San+Francisco
1467,<b>Data</b> <b>Scientist</b>,"        Pinterest","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1468,"Software Engineer, Frontend","        Airbnb","San Francisco, CA",NaN,San+Francisco
1469,Software Engineering Manager - Location Search Engine,"        Uber","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1470,Research Associate,"    BioMarin Pharmaceutical Inc.","Novato, CA",NaN,San+Francisco
1471,Senior Infrastructure Engineer,"    Atomwise","San Francisco, CA",NaN,San+Francisco
1472,Lab Automation Internship,"    Transcriptic","Menlo Park, CA 94025",NaN,San+Francisco
1473,<b>Scientist</b> - Protein Biochemistry,"    Global Blood Therapeutics, Inc. (GBT)","South San Francisco, CA 94080",NaN,San+Francisco
1474,"Computational Genomic <b>Scientist</b>, Bioinformatics","    Guardant Health","Redwood City, CA",NaN,San+Francisco
1475,PK Sciences (PKS) Sr. Investigator â€“ Infectious Diseases,"        Novartis Institutes for BioMedical Research","Emeryville, CA",NaN,San+Francisco
1476,"<b>Scientist</b>, Biology","    Zymergen","Emeryville, CA 94608",NaN,San+Francisco
1477,Reimbursement Associate,"        Counsyl","South San Francisco, CA 94080",NaN,San+Francisco
1478,<b>Scientist</b>,"        Bio-Rad Inc.","Richmond, CA",NaN,San+Francisco
1479,Sr <b>Data</b> <b>Scientist</b>/Solution Architect,"    Redfish Technology","Berkeley, CA 94705","$250,000 a year",San+Francisco
1480,Sr. Research Associate,"    Ardelyx","Fremont, CA 94555 <span style=""font-size: smaller"">(Northgate area)</span>",NaN,San+Francisco
1481,Machine Learning Algorithm Engineer,"    3coast","San Mateo, CA","$120,000 - $180,000 a year",San+Francisco
1482,Infrastructure Engineer,"    Emerald Cloud Lab","South San Francisco, CA",NaN,San+Francisco
1483,Lead Clinical Laboratory <b>Scientist</b> (PM shift),"    Guardant Health","Redwood City, CA",NaN,San+Francisco
1484,Principal Engineer,"    PagerDuty","San Francisco, CA",NaN,San+Francisco
1485,"Senior Web Developer, VUDU","        Walmart eCommerce","San Bruno, CA 94066",NaN,San+Francisco
1486,Senior Software Engineer - User Insights Platform,"    TellApart","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1487,Account Executive (AE),"    CrowdFlower","San Francisco, CA",NaN,San+Francisco
1488,SLH CLS,"        Alameda Health System","San Leandro, CA",NaN,San+Francisco
1489,Digital Marketing Associate,"        Helix","San Carlos, CA",NaN,San+Francisco
1490,Research Assistant II,"        Pacific Institute for Research and Evaluation","Oakland, CA 94612 <span style=""font-size: smaller"">(Northgate area)</span>",NaN,San+Francisco
1491,Clinical Laboratory <b>Scientist</b> - IRL,"    Blood Systems","San Francisco, CA 94118 <span style=""font-size: smaller"">(Inner Richmond area)</span>",NaN,San+Francisco
1492,"<b>Scientist</b>, Protein Science","    23andMe, Inc.","San Francisco, CA",NaN,San+Francisco
1493,"Principal <b>Scientist</b>, Clinical Pharmacology","        Genentech","South San Francisco, CA",NaN,San+Francisco
1494,"Associate <b>Scientist</b> I-II / <b>Scientist</b> I, Bioanalytics","        AbbVie","South San Francisco, CA",NaN,San+Francisco
1495,Soil Carbon Cycling Postdoctoral Fellow (Climate &amp; Ecosystem...,"        Lawrence Berkeley National Laboratory","Berkeley, CA 94720",NaN,San+Francisco
1496,<b>Data</b> <b>Scientist</b> (User <b>Data</b>),"        Thomson Reuters","San Francisco, CA 94102 <span style=""font-size: smaller"">(Downtown area)</span>",NaN,San+Francisco
1497,Infrastructure Engineer,"    Emerald Cloud Lab","South San Francisco, CA",NaN,San+Francisco
1498,Sr. Research Associate,"    Ardelyx","Fremont, CA 94555 <span style=""font-size: smaller"">(Northgate area)</span>",NaN,San+Francisco
1499,Bioinformatics Specialist,"        University of California San Francisco","San Francisco, CA",NaN,San+Francisco
1500,<b>Data</b> <b>Scientist</b>,"    ClearMotion","San Francisco, CA",NaN,San+Francisco
1501,Clinical <b>Data</b> <b>Scientist</b> (Manager),"        Pfizer Inc.","San Francisco, CA",NaN,San+Francisco
1502,"<b>Scientist</b>, Computational Biology (NGS)- CA","        AEQUOR Technologies, Inc.","San Francisco, CA 94158 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1503,"Research Associate, CRISPR/Cas9 Genome Engineering","    Zymergen","Emeryville, CA 94608",NaN,San+Francisco
1504,Principal <b>Data</b> <b>Scientist</b> (G&amp;A),"        Thomson Reuters","San Francisco, CA 94102 <span style=""font-size: smaller"">(Downtown area)</span>",NaN,San+Francisco
1505,"Sr. Manager, Marketing Operations","        Glassdoor","Mill Valley, CA 94941",NaN,San+Francisco
1506,Bioinformatics Specialist,"        University of California San Francisco","San Francisco, CA",NaN,San+Francisco
1507,Director - Software Engineering,"        General Electric","San Francisco, CA 94102 <span style=""font-size: smaller"">(Downtown area)</span>",NaN,San+Francisco
1508,<b>Data</b> <b>Scientist</b>,"    ClearMotion","San Francisco, CA",NaN,San+Francisco
1509,"Content <b>Scientist</b>, Cancer Genomics","    Bina Technologies Inc.","Belmont, CA",NaN,San+Francisco
1510,"Category Specialist - eCommerce Retail Program, Experienced","        Walmart eCommerce","San Bruno, CA 94066",NaN,San+Francisco
1511,Director - Software Dev - AI / Machine Learning / NLP,"        Oracle","Redwood Shores, CA",NaN,San+Francisco
1512,"Software Engineer, Experimentation Platform","        Airbnb","San Francisco, CA 94103 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1513,Senior Software Development Engineer in Test (Web),"        The Climate Corporation","San Francisco, CA",NaN,San+Francisco
1514,Lecturer - Statistics,"        University of California Berkeley","Berkeley, CA",NaN,San+Francisco
1515,Junior <b>Data</b> Analyst,"        Realogy Corporate","Emeryville, CA",NaN,San+Francisco
1516,Developer - Spotfire/Biotech W2 ONLY,"    Consultant Specialists, Inc. (CSI)","San Francisco, CA",NaN,San+Francisco
1517,<b>Data</b> Engineer (Java),"        Personal Capital","San Carlos, CA 94070",NaN,San+Francisco
1518,Executive Assistant to the Chief and Research Analyst,"        University of California San Francisco","San Francisco, CA",NaN,San+Francisco
1519,"Research Engineer, AI","        eBay Inc.","San Francisco, CA",NaN,San+Francisco
1520,<b>Data</b> <b>Scientist</b>,"    Stride Search","San Francisco, CA",NaN,San+Francisco
1521,"Research <b>Scientist</b>, Molecular Biology","    Twist Bioscience","San Francisco, CA 94158 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1522,<b>Data</b> <b>Scientist</b>,"        Counsyl","South San Francisco, CA 94080",NaN,San+Francisco
1523,<b>Data</b> <b>Scientist</b> (Platform),"    Clover Health","San Francisco, CA",NaN,San+Francisco
1524,Search Engineer,"        Thomson Reuters","San Francisco, CA 94102 <span style=""font-size: smaller"">(Downtown area)</span>",NaN,San+Francisco
1525,Sr. Customer Success Manager,"    Smarking","San Francisco, CA","$60,000 - $100,000 a year",San+Francisco
1526,Senior Associate <b>Scientist</b>-Inflammation and Oncology,"        Amgen","South San Francisco, CA 94080",NaN,San+Francisco
1527,"Manager, Statistical Programmer","    InClin","San Mateo, CA",NaN,San+Francisco
1528,"Sr. Manager / Associate Director, Statistical Programming","    Achaogen","South San Francisco, CA 94080",NaN,San+Francisco
1529,"VP of Sales, Employer Benefits","    Color Genomics","Burlingame, CA",NaN,San+Francisco
1530,Principal <b>Data</b> <b>Scientist</b> (G&amp;A),"        Thomson Reuters","San Francisco, CA 94102 <span style=""font-size: smaller"">(Downtown area)</span>",NaN,San+Francisco
1531,Computer Systems Engineer,"        Lawrence Berkeley National Laboratory","Berkeley, CA 94720",NaN,San+Francisco
1532,Database Engineer,"        Walmart eCommerce","San Bruno, CA 94066",NaN,San+Francisco
1533,Dispatch Engineer,"        Chariot","San Francisco, CA",NaN,San+Francisco
1534,OMNI Biomarker Development <b>Data</b> Manager/Programmer,"        Ascent Services Group","South San Francisco, CA 94080",NaN,San+Francisco
1535,Senior Front-End Engineer,"    Domino <b>Data</b> Lab","San Francisco, CA",NaN,San+Francisco
1536,<b>Data</b> <b>Scientist</b>,"        Twitch","San Francisco, CA",NaN,San+Francisco
1537,Intake Associate,"        Counsyl","South San Francisco, CA 94080",NaN,San+Francisco
1538,"<b>Scientist</b>, Fundamental Science","    Zymergen","Emeryville, CA 94608",NaN,San+Francisco
1539,Sr. Machine Learning Engineer,"        art.com","Emeryville, CA 94608",NaN,San+Francisco
1540,<b>Data</b> Analytics Platform Architect,"    Tellus Solutions","Redwood City, CA 94065",NaN,San+Francisco
1541,Software Engineer/DevOps,"    Osaro","San Francisco, CA",NaN,San+Francisco
1542,Sr. Customer Success Manager,"    Smarking","San Francisco, CA","$60,000 - $100,000 a year",San+Francisco
1543,<b>Data</b> Engineer/<b>Data</b> <b>Scientist</b>,"    Elevate Recruiting Group","San Francisco, CA",NaN,San+Francisco
1544,Sr. Manager/Manager of Statistical Programming,"    FibroGen, Inc.","San Francisco, CA 94158 <span style=""font-size: smaller"">(South Of Market area)</span>",NaN,San+Francisco
1545,UX Manager â€“ Customer Facing,"        Stitch Fix","San Francisco, CA",NaN,San+Francisco
1546,SLH CLS,"        Alameda Health System","San Leandro, CA",NaN,San+Francisco
1547,Senior ERP Business Systems Analyst,"    method products pbc","San Francisco, CA 94111 <span style=""font-size: smaller"">(Financial District area)</span>",NaN,San+Francisco
1548,"Sr. Manager, Marketing Operations","        Glassdoor","Mill Valley, CA 94941",NaN,San+Francisco
1549,Clinical Laboratory <b>Scientist</b> - IRL,"    BSI Business Group","San Francisco, CA",NaN,San+Francisco
1550,UX Manager â€“ Customer Facing,"        Stitch Fix","San Francisco, CA",NaN,San+Francisco
1551,Executive Assistant,"        University of California San Francisco","San Francisco, CA",NaN,San+Francisco
1552,"Manager, Decision Science","        Glassdoor","Mill Valley, CA 94941",NaN,San+Francisco
1553,Post Baccalaureate Fellow (Advanced Light Source),"        Lawrence Berkeley National Laboratory","Berkeley, CA 94720",NaN,San+Francisco
1554,Senior Inventory Planner,"        Walmart eCommerce","San Bruno, CA 94066",NaN,San+Francisco
1555,"Product Manager, Sparkpay","        Capital One","San Francisco, CA",NaN,San+Francisco
1556,Application Software Engineer,"    Emerald Cloud Lab","South San Francisco, CA",NaN,San+Francisco
1557,Clinical Biomarker Leader (Cancer Immunotherapy),"        Genentech","South San Francisco, CA",NaN,San+Francisco
1558,Senior Inventory Planner,"        Walmart eCommerce","San Bruno, CA 94066",NaN,San+Francisco
1559,Software Developer 5,"        Oracle","Redwood City, CA",NaN,San+Francisco
1560,Manager- Pathology Specialty Techniques - San Francisco,"        Amgen","South San Francisco, CA 94080",NaN,San+Francisco
1561,<b>Data</b> <b>Scientist</b> - Deep Learning,"    Big Cloud","San Francisco, CA",NaN,San+Francisco
1562,R&amp;D <b>Scientist</b>,"    uBiome","San Francisco, CA",NaN,San+Francisco
1563,"Statistical <b>Scientist</b> - Product Development Biometrics, Roch...","        Genentech","South San Francisco, CA",NaN,San+Francisco
1564,Intake Associate,"        Counsyl","South San Francisco, CA 94080",NaN,San+Francisco
1565,<b>Data</b> Science Analyst,"        AIG","New York, NY",NaN,New+York
1566,Real World Evidence Statistical Analyst,"        Barrington James","New York, NY 10005 <span style=""font-size: smaller"">(Financial District area)</span>","$110,000 a year",New+York
1567,Machine Learning,"        Twitter","New York, NY",NaN,New+York
1568,Machine Learning Infrastructure Engineer,"    Schrodinger","New York, NY",NaN,New+York
1569,<b>Data</b> <b>Scientists</b>,"    FXcompared","New York, NY",NaN,New+York
1570,Sr <b>Data</b> <b>Scientist</b> - NLP &amp; CODING REQUIRED,"    PMES","New York, NY","$155,000 a year",New+York
1571,<b>Data</b> <b>Scientist</b>,"    indify","New York, NY","$90,000 - $170,000 a year",New+York
1572,Sr <b>Data</b> <b>Scientist</b>,"        Aetna","New York, NY 10016 <span style=""font-size: smaller"">(Gramercy area)</span>",NaN,New+York
1573,<b>Data</b> Science Manager,"    HarperCollins Publishers Inc.","New York, NY",NaN,New+York
1574,Machine Learning Engineer,"    AdTheorent","New York, NY",NaN,New+York
1575,Quantitative <b>Scientist</b>,"        Flatiron Health","New York, NY",NaN,New+York
1576,<b>Data</b> Research Analyst - Office of Chief Nurse Executive,"        Northwell Health","New Hyde Park, NY 11040",NaN,New+York
1577,Sr. <b>Data</b> <b>Scientist</b>,"    Hudson <b>Data</b>","New York, NY",NaN,New+York
1578,Director <b>Data</b> Science,"    AdTheorent","New York, NY",NaN,New+York
1579,<b>Scientist</b> - Business Process Modeling and Simulation,"        AIG","New York, NY",NaN,New+York
1580,Senior <b>Data</b> <b>Scientist</b>,"    AdTheorent","New York, NY",NaN,New+York
1581,Junior <b>Data</b> <b>Scientist</b>,"        pymetrics","New York, NY 10016 <span style=""font-size: smaller"">(Gramercy area)</span>",NaN,New+York
1582,VP of Engineering - <b>Data</b>,"        Spotify","New York, NY 10011 <span style=""font-size: smaller"">(Chelsea area)</span>",NaN,New+York
1583,Junior <b>Data</b> <b>Scientist</b>,"        pymetrics","New York, NY 10016 <span style=""font-size: smaller"">(Gramercy area)</span>",NaN,New+York
1584,Senior <b>Data</b> <b>Scientist</b>,"        ektello","New York, NY",NaN,New+York
1585,Research <b>Data</b> Associate,"        NYU School of Medicine","New York, NY",NaN,New+York
1586,"Clinical <b>Data</b> <b>Scientist</b> (Associate, entry level with DM expe...","        Pfizer Inc.","New York, NY 10017 <span style=""font-size: smaller"">(Midtown area)</span>",NaN,New+York
1587,"Sr. <b>Data</b> <b>Scientist</b>, Analytics","        Memorial Sloan Kettering","New York, NY",NaN,New+York
1588,Junior <b>Data</b> Engineer,"        JW Player","New York, NY 10018 <span style=""font-size: smaller"">(Clinton area)</span>",NaN,New+York
1589,Analytics - Ads Team,"        Foursquare","New York, NY",NaN,New+York
1590,Technology - GSAM Technology - Search and Machine Learning E...,"        Goldman Sachs","New York, NY 10282 <span style=""font-size: smaller"">(Tribeca area)</span>",NaN,New+York
1591,<b>Data</b> <b>Scientist</b>,"        Goldman Sachs","New York, NY 10282 <span style=""font-size: smaller"">(Tribeca area)</span>",NaN,New+York
1592,<b>Data</b> <b>Scientist</b>,"    WorldCover","New York, NY","$70,000 - $110,000 a year",New+York
1593,"Senior <b>Scientist</b>, Oncology Target Discovery","        Pfizer","New York, NY 10017 <span style=""font-size: smaller"">(Midtown area)</span>",NaN,New+York
1594,"Analyst, <b>Data</b> Access &amp; Advanced Analysis","        Conde Nast","New York, NY 10007 <span style=""font-size: smaller"">(Financial District area)</span>",NaN,New+York
1595,Machine Learning Engineer - NY,"        Morgan Stanley","New York, NY 10032 <span style=""font-size: smaller"">(Washington Heights area)</span>",NaN,New+York
1596,User Experience Designer - <b>Data</b> Distribution and Governance,"        Bloomberg","New York, NY",NaN,New+York
1597,<b>Data</b> Engineer,"    Aetion","New York, NY",NaN,New+York
1598,Senior <b>Data</b> <b>Scientist</b>,"    Dstillery","New York, NY",NaN,New+York
1599,Junior Research Analyst - Index,"        SociÃ©tÃ© GÃ©nÃ©rale","New York, NY",NaN,New+York
1600,"Policy Specialist, Performance Monitoring and <b>Data</b> Analysis","    ActiveUnited Nations Development Programme (UNDP)","New York, NY",NaN,New+York
1601,Senior Analyst - Marketing Analytics,"        Casper","New York, NY",NaN,New+York
1602,Industry Research Analyst,"        IBISWorld","New York, NY",NaN,New+York
1603,Senior Machine Learning Engineer,"        Capital One","New York, NY",NaN,New+York
1604,Computer Science (<b>Data</b> Analysis) Instructor,"    Urban Scholars Program, City College of New York","New York, NY 10031 <span style=""font-size: smaller"">(Hamilton Heights area)</span>",$40 an hour,New+York
1605,Statistical Analyst,"        Hospital for Special Surgery","New York, NY",NaN,New+York
1606,Statistician,"        United Nations","New York, NY",NaN,New+York
1607,Business/Statistical Analyst,"        AIG","New York, NY",NaN,New+York
1608,<b>Data</b> Analytics Engineer,"    Fractal Industries","New York, NY",NaN,New+York
1609,"Quantitative Strategies, Index &amp; Alpha â€“ Analyst/Associate (...","        Credit Suisse","New York, NY 10022 <span style=""font-size: smaller"">(Midtown area)</span>",NaN,New+York
1610,Research Analyst,"    Nielsen","New York, NY 10003 <span style=""font-size: smaller"">(Greenwich Village area)</span>",NaN,New+York
